type,object_id,text_id,flavor_text
"('Misc', 5)",416,41600,"{'name': 'Empty Jet Canister', 'description': ""This empty jet canister was found in Richard Wright's room. It still has traces of Jet inside.""}"
"('Misc', 5)",224,22400,"{'name': 'Small Statuette', 'description': 'You think this might be a carving of the ""Pip Boy"" but you can\'t be sure.'}"
"('Container', 1)",132,13200,"{'name': 'Locker', 'description': 'A storage container.'}"
"('Weapon', 3)",122,12200,"{'name': '9mm Mauser', 'description': 'A Mauser M/96, in 9x19mm Parabellum. In excellent condition. Extremely accurate. Min ST: 3.'}"
"('Misc', 5)",491,49100,"{'name': 'Mr. Nixon Doll', 'description': ""You see a small doll with a big red nose. For some reason, you don't trust this seemingly-innocent child's toy.""}"
"('Container', 1)",166,16600,"{'name': 'Table', 'description': 'A generic table. Holds stuff off the ground.'}"
"('Misc', 5)",446,44600,"{'name': 'Vertibird Plans', 'description': 'A set of plans for building Vertibirds.'}"
"('Weapon', 3)",427,42700,"{'name': 'Flame Breath', 'description': 'Medical Supplies'}"
"('Misc', 5)",460,46000,"{'name': 'M.B. Holodisk 2', 'description': 'The label reads: Radio transmission log checkpoint 2.'}"
"('Misc', 5)",50,5000,"{'name': 'Reserved Item', 'description': 'This is a reserved item. DO NOT USE.'}"
"('Misc', 5)",519,51900,"{'name': 'Bottle Caps', 'description': ""These are worthless bottle caps. You've heard that at one time they were used as money, though you suspect its only a story.""}"
"('Misc', 5)",263,26300,"{'name': 'Slag Message', 'description': 'This is a message from the leader of the Slags to the townspeople of Modoc.'}"
"('Weapon', 3)",386,38600,"{'name': 'Louisville Slugger', 'description': 'This all-American, hardwood, baseball bat will knock anything right out of the park. Min ST: 4.'}"
"('Ammo', 4)",111,11100,"{'name': '.44 magnum FMJ', 'description': 'A brick of ammunition, .44 magnum caliber, full metal jacket.'}"
"('Drug', 2)",71,7100,"{'name': 'Fruit', 'description': 'A strange piece of fruit. No preservatives and no additional food coloring added.'}"
"('Container', 1)",93,9300,"{'name': 'Bag', 'description': 'An average sized bag. Made from weaved Brahmin hairs.'}"
"('Misc', 5)",331,33100,"{'name': ""Cat's Paw Issue #5"", 'description': ""This is the hard to find Issue 5 of Cat's Paw magazine. The pictures aside, this issue has a wonderful article on energy weapons.""}"
"('Weapon', 3)",233,23300,"{'name': 'Turbo Plasma Rifle', 'description': 'A modified Winchester P94 plasma rifle. The plasma bolt chamber has been hotwired to accelerate the bolt formation process. Min ST: 6.'}"
"('Drug', 2)",109,10900,"{'name': 'Rad-X', 'description': 'Anti-radiation chems to be taken before exposure. No known side effects.'}"
"('Container', 1)",187,18700,"{'name': 'Desk', 'description': 'A generic desk.'}"
"('Misc', 5)",55,5500,"{'name': 'Water Chip', 'description': 'This is a Vault-Tec water chip. They are typically packaged in groups of five to a box.'}"
"('Weapon', 3)",235,23500,"{'name': 'Power Fist', 'description': 'A ""Big Frigger"" Power Fist from BeatCo. Considered by many to be the ultimate weapon to use in unarmed combat. Others are just scared. Powered by small energy cells. Min ST: 1.'}"
"('Container', 1)",130,13000,"{'name': 'Footlocker', 'description': 'Your basic footlocker. Holds stuff, sits at foot of bed, can be locked.'}"
"('Drug', 2)",273,27300,"{'name': 'Healing Powder', 'description': 'A very powerful healing magic- though it will bring the feeling of sleep to your head.'}"
"('Ammo', 4)",382,38200,"{'name': 'Flamethrower Fuel MKII', 'description': 'This flamethrower fuel uses an advanced super-burn mix.'}"
"('Misc', 5)",154,15400,"{'name': 'Shelves', 'description': 'A set of wooden shelves.'}"
"('Misc', 5)",73,7300,"{'name': 'Big Book of Science', 'description': 'A set of books, containing information about different scientific fields.'}"
"('Weapon', 3)",517,51700,"{'name': '""Little Jesus""', 'description': 'This wicked looking blade once belonged to Lil\' Jesus Mordino. It has numerous nicks and cuts along its surface, but its edge is razor sharp. On its handle is carved ""Little Jesus.""'}"
"('Weapon', 3)",21,2100,"{'name': 'Brass Knuckles', 'description': 'Hardened knuckle grip that is actually made out of steel. They protect your hand, and do more damage, in unarmed combat. Min ST: 1.'}"
"('Weapon', 3)",395,39500,"{'name': 'Vindicator Minigun', 'description': 'The German Rheinmetal AG company created the ultimate minigun. The Vindicator throws over 90,000 caseless shells per minute down its six carbon-polymer barrels. As the pinnacle of Teutonic engineering skill, it is the ultimate hand-held weapon. Min ST: 7.'}"
"('Misc', 5)",114,11400,"{'name': ""Tangler's Hand"", 'description': 'A cybernetic manipulator, in the shape and form of a hand. Damaged due to the sloppy nature of the removal process.'}"
"('Weapon', 3)",421,42100,"{'name': 'Holy Hand Grenade', 'description': 'A Holy relic of godly might.'}"
"('Weapon', 3)",234,23400,"{'name': 'Spiked Knuckles', 'description': 'An improved version of the classic Brass Knuckles. The Spiked Knuckles do more damage, tearing into the flesh of your opponent in unarmed combat. Min ST: 1.'}"
"('Weapon', 3)",423,42300,"{'name': 'Gold Nugget', 'description': 'A nugget of gold.'}"
"('Weapon', 3)",283,28300,"{'name': 'Tommy Gun', 'description': 'This Thompson M1928 submachine gun is a sinister looking weapon; every time you hold it, you have an urge to put on a fedora hat and crack your knuckles. The Thompson is well-fed by a large 50 round drum magazine. Min ST: 6.'}"
"('Misc', 5)",461,46100,"{'name': 'M.B. Holodisk 3', 'description': 'The label reads: Radio transmission log checkpoint 3.'}"
"('Drug', 2)",310,31000,"{'name': 'Gamma Gulp Beer', 'description': 'A bottle of Gamma Gulp beer. It glows in the dark!'}"
"('Misc', 5)",92,9200,"{'name': 'Scorpion Tail', 'description': 'The severed tail of a radscorpion.'}"
"('Misc', 5)",207,20700,"{'name': 'Geiger Counter', 'description': 'A Wattz Electronics C-Radz model Geiger Counter. Detects the presence and strength of radiation fields. It is on.'}"
"('Weapon', 3)",261,26100,"{'name': ""Jonny's BB Gun"", 'description': ""A Red Ryder BB gun with the name 'Jonny' scratched on the stock. Min ST: 3.""}"
"('Misc', 5)",225,22500,"{'name': ""Cat's Paw Magazine"", 'description': ""An issue of Cat's Paw magazine.""}"
"('Weapon', 3)",426,42600,"{'name': 'Uranium Ore', 'description': 'A chunk of Uranium Ore, unrefined.'}"
"('Misc', 5)",195,19500,"{'name': 'Brotherhood Honor Code', 'description': 'A holotape, with a rough symbol of the Brotherhood of Steel inscribed on it. Use the tape to transfer the data to your PIPBoy.'}"
"('Misc', 5)",230,23000,"{'name': 'Vault Records', 'description': 'A compendium of events and important recordings from a Vault computer system. Possibly damaged.'}"
"('Misc', 5)",488,48800,"{'name': 'K-9 Motivator', 'description': 'This is the drive mechanism for a K-9 series robot.'}"
"('Armor', 0)",1,100,"{'name': 'Leather Armor', 'description': 'Your basic all leather apparel. Finely crafted from tanned brahmin hide.'}"
"('Misc', 5)",41,4100,"{'name': 'Money', 'description': 'Legal tender for the world of the wastes.'}"
"('Misc', 5)",478,47800,"{'name': 'Sierra Mission Holodisk', 'description': 'The label reads: ""Mission Statement.""'}"
"('Container', 1)",514,51400,"{'name': 'Pool Table', 'description': 'Pool Table'}"
"('Container', 1)",65,6500,"{'name': 'Bookcase', 'description': 'A wooden bookcase.'}"
"('Misc', 5)",126,12600,"{'name': 'Water Flask', 'description': 'A container for the holding and preservation of water or other liquids.'}"
"('Misc', 5)",309,30900,"{'name': 'Talisman', 'description': 'A talisman which is worn by followers of The Brain.'}"
"('Misc', 5)",47,4700,"{'name': 'First Aid Kit', 'description': 'A small kit containing basic medical equipment. Bandages, wraps, antiseptic spray, and more.'}"
"('Misc', 5)",150,15000,"{'name': 'Bookshelf', 'description': 'A wooden bookshelf.'}"
"('Misc', 5)",258,25800,"{'name': 'Hydroelectric Part', 'description': 'This is a Hydroelectric Magnetosphere Regulator.'}"
"('Container', 1)",245,24500,"{'name': 'Chest', 'description': 'A wooden chest.'}"
"('Weapon', 3)",389,38900,"{'name': 'Avenger Minigun', 'description': ""Rockwell designed the Avenger as the replacement for their aging CZ53 Personal Minigun. The Avenger's design improvements include improved, gel-fin, cooling and chromium plated barrel-bores. This gives it a greater range and lethality. Min ST: 7.""}"
"('Weapon', 3)",8,800,"{'name': '10mm Pistol', 'description': 'A Colt 6520 10mm autoloading pistol. Each pull of the trigger will automatically reload the firearm until the magazine is empty. Single shot only, using the powerful 10mm round. Min ST: 3.'}"
"('Misc', 5)",277,27700,"{'name': 'Golden Gecko Pelt', 'description': 'This is the dried and cured hide of a Golden Gecko.'}"
"('Misc', 5)",479,47900,"{'name': 'NavCom Parts', 'description': 'These are computer parts that look like they slot into the interior of a machine. The fact that they say ""Poseidon Oil"" and ""Navigational Computer"" on them lead you to believe they fit into a Poseidon Oil Navigational Computer.'}"
"('Misc', 5)",78,7800,"{'name': 'Fuzzy Painting', 'description': 'An image of a singer. Obviously, very old. The image has a felt coating that is still in good condition.'}"
"('Container', 1)",185,18500,"{'name': 'Desk', 'description': 'A generic desk.'}"
"('Weapon', 3)",9,900,"{'name': '10mm SMG', 'description': 'H&K MP9 Submachinegun (10mm variant). A medium-sized SMG, capable of single shot and burst mode. Min ST: 4.'}"
"('Container', 1)",201,20100,"{'name': 'Box', 'description': 'Box'}"
"('Misc', 5)",470,47000,"{'name': 'Ball Gag', 'description': ""A questionable sexual device. If you need to ask, you don't want to know.""}"
"('Misc', 5)",266,26600,"{'name': ""Vic's Radio"", 'description': ""This hand-held radio doesn't work but it looks as though it's still in pretty good condition. Some of its parts could probably be salvaged for use in other radios.""}"
"('Misc', 5)",84,8400,"{'name': 'Lockpicks', 'description': 'A set of locksmith tools. Includes all the necessary picks and tension wrenches to open conventional pin and tumbler locks.'}"
"('Misc', 5)",91,9100,"{'name': ""Doctor's Bag"", 'description': 'This brown bag contains instruments and chems used by doctors in the application of their trade.'}"
"('Misc', 5)",278,27800,"{'name': 'Flint', 'description': 'A stone used to sharpen weapons.'}"
